Name,Department,Faculty,Profile_Link
Prof. B.F.A.Basnayake,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=154
Prof. R.P. De Silva,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=161
Prof. D.A.N.Dharmasena,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=156
Prof. M.I.M. Mowjood,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=152
Prof. K.S.P.Amarathunga,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=155
Prof. N.D.K. Dayawansa,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=151
Dr. D.N.Jayatissa,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=159
Dr. A.K.Karunarathne,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=150
Mr. N.K.Wijewardena,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=157
Mr. R.M.R.D. Abeyrathne,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=158
Mr. F.H.C.A. Silva,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=193
Dr. J. Mannapperuma,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=194
Dr. L.N.A.C. Jayawardena,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=64
Dr. H.V.A. Wickramasuriya,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=63
Dr. Uvasara Dissanayeke,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=65
Ms. R.M.S. Wijerathna,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=66
Dr. J.M.P.N. Anuradha,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=67
Mr. S.M.S.P. Kumara,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=68
Ms. S.A.K. Rathnayake,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=213
Mr. P.C.B. Alahakoon,Department of Agricultural Extension,Faculty of Agriculture,http://agri.pdn.ac.lk/aget/staff_profile?xqrt=61
Dr. A.R.S.B. Athauda,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=133
Prof. M.P.B. Wijayagunawardane,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=145
Prof. G.L.L.P. Silva,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=142
Prof. C.M.B. Dematawewa,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=134
Prof. K. Samarasinghe,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=140
Prof. J.K. Vidanarachchi,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=144
Prof. B.C. Jayawardena,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=271
Mr. M.B.P. Kumara Mahipala,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=146
Dr. T.S. Samarakone,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=141
Dr. R.M.C. Deshapriya,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=135
Dr. K.K.S.P. Kodituwakku,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=139
Dr. S.M.C. Himali,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=137
Dr. P.H.P. Prasanna,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=136
Mr. H.K.A. Premachandra,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=147
Ms. E.T.S. Madubhashini,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=148
Ms. P. Weththasinghe,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=143
Ms. W.N.U. Perera,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=216
Mr. W.E.M.L.J. Ekanayake,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=215
Ms. S.G.V.B. Warnasooriya,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=217
