Name,Department,Faculty,Profile_Link
Prof. R.M.M. Chandraratne,Department of Archeology,Faculty of Arts,target='_blank'
Dr D.K. Jayaratne,Department of Archeology,Faculty of Arts,target='_blank'
Dr. M.W.C.N.K. Rambukwella (on leave),Department of Archeology,Faculty of Arts,target='_blank'
Dr. A.M.P. Senanayake,Department of Archeology,Faculty of Arts,target='_blank'
Dr. A.S.T. Rajapakse,Department of Archeology,Faculty of Arts,target='_blank'
Dr. A.G.D.N. Karunarathna,Department of Archeology,Faculty of Arts,target='_blank'
Prof. P.L. Prematilleke,Department of Archeology,Faculty of Arts,target='_blank'
Prof. S.D.S. Seneviratne,Department of Archeology,Faculty of Arts,target='_blank'
Prof. Senarat Paranavitana,Department of Archeology,Faculty of Arts,target='_blank'
Dr. Rohana Seneviratne,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/rs.htm
Prof. Chandima Wickramasinghe,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/cw.htm
Dr. Varunadatta Edirisinghe,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/ve.htm
Dr. Sanath Wijesundara,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/sk.htm
Rev. Jambugahapitiye Dhammaloka,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/jd.htm
Muditha Dharmasiri,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/mdh.htm
Ruwantha Kulatunga,Department of Classical Languages,Faculty of Arts,http://arts.pdn.ac.lk//classical/rk.htm
Snr. Prof. A.S.P. Abhayratne,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/aspa.html
Prof. D.N.B. Gunewardena,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/dnbg.html
Prof. O.G. Dayaratna Banda,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/ogdb.html
Prof. W.L.P. Perera,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/wlpp.html
Prof. J.M. Ananda Jayawickrama,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/jmaj.html
Prof. P.P.A.W. Athukorala,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/ppawa.html
Prof. S. Vijesandiran,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/sv.html
Dr. C.R. Abayasekara,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/cra.html
Dr. John Nigel,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/jn.html
Dr. S. Sivarajasingham,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/ss.html
Dr. H.M.W.A. Herath,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/hmwah.html
Mr. K. Gnaneswaran,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/kg.html
Mr. T. Rajeswaran,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/tr.html
Ms. Shobana Rajendran,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/sr.html
Dr. J.G. Sri Ranjith,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/jgsr.html
Ms. A.V.K. Madhavie,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/avkm.html
Dr. M.B. Ranathilaka,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/mbr.html
Dr. S.S.K.B.M. Dorabawila,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/sskbmd.html
Dr. S.J. Suresh de Mel,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/sjs.html
Dr. A.D.H.K. Kankanamge,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/adhkk.html
Ms. K.M.R. Karunarathne,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/kmrk.html
Ms. T.N. Vidanage,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/tnv.html
Dr. Thanabalasingam Vinayagathasan,Department of Economics and Statistics,Faculty of Arts,http://arts.pdn.ac.lk/econ/tv.html
Mr. R.K.M. Rajapaksha,Department of Economics and Statistics,Faculty of Arts,target='_blank'
Ms. S. Priyatharsiny,Department of Economics and Statistics,Faculty of Arts,target='_blank'
Ms. L.C. Weragoda,Department of Economics and Statistics,Faculty of Arts,target='_blank'
Mr. Navin Thattil,Department of Economics and Statistics,Faculty of Arts,target='_blank'
Dr. (Ms) P.R.K.A. Vitharana,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Vitharana.htm
Prof. S.M.P.W.K. Sethunga ,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Sethunga.htm
Dr. S.D.K Wijesundara ,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Subhashinie.html
Dr.(Mrs) Susila Embekke,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Embekke.htm
Mr. Prabath Ekanayake,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Prabath%20Ekanayake.htm
Dr. K.S.H.M.V.W.W. Senevirathne,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Walter.htm
Dr. (Mrs) T.M.S.S.K. Yatigammana Ekanayake ,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Sakunthala.htm
Mr.H.M.Samarakoon Banda,Department of Education,Faculty of Arts,http://arts.pdn.ac.lk//education/Samarakoonbanda.htm
Prof. Carmen S. Wickramagamage,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/1_CarmenWickramagamage.php
Dr. Kanchuka Nayani Dharmasiri,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/3_KanchukaNayaniDharmasiri.php
Mrs. Kusantha Herat,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/4_KusanthaHerat.php
Dr. Nandaka Maduranga Kalugampitiya,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/6_NandakaMaduranga.php
Prof. Arjuna Parakrama,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/2_ArjunaParakrama.php
Prof. Senath Walter Perera,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/8_SenathWalter.php
Prof. Sumathy Sivamohan,Department of English,Faculty of Arts,http://arts.pdn.ac.lk/english/staff/7_SumathySivamohan.php
Dr. Manoj Sumeda Bandara Alawathukotuwa,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/manoj_alawathukotuwa.html
Dr. Leena Seneheweera,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/leena_seneheweewa.html
Mr. Athula Samarakoon,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/athula.html
Dr. W M P Sudarshana Bandara,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/sudarshana_bandara.html
Dr. Sudesh Mantillake,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/sudesh_mantillake.html
Mr. Priyantha Fonseka,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/priyantha_fonseka.html
Miss. Niroshi Senevirathe,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/niroshi_senevirathne.html
Miss. Madhushani Chandrasekara,Department of Fine Arts,Faculty of Arts,http://arts.pdn.ac.lk//finearts/staff/madhushani_chandrasekara.html
Mr. M. A. Shantha Jayakumara,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/santha_2018.php
Prof. Tilak Hewawasam,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/hewawasam_2018.php
Dr. Nalani Hennayake,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/nalini.php
Dr. K.W.G. Rekha Nianthi,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/rekha_2018.php
Dr. T.W.M. Tilak Wijethunga Bandara,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/bandara.php
Mr. Ashvin Wickramasooriya,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/ashvin_2018.php
Dr. K.R. Mahinda U. Bandara,Department of Geography,Faculty of Arts,target='_blank'
"Dr. Fazeeha Azmi, M.I.",Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/fazeeha_2018.php
Mr. M.S.M. Razik,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/razik.php
Dr. Pushpika Priyanganie Masakorala,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/masakorala.php
Mr. Isthikar Ariff,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/isthikar.php
Dr. D.M. Lalitha Dissanayake,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/lalitha.php
Mrs. Arularasi Balakrishnan,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/arularasi.php
Dr. Muditha Prasannajith Perera,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/muditha_2018.php
Dr. Mahlon P. Rambukkange,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/mahlon.php
Dr. R.M.K.Kumarihamy,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/kumuduni.php
Ms. Thamali Nisansala Kithsiri,Department of Geography,Faculty of Arts,target='_blank'
Dr. Shantha Hettiarachchi Bandara,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/shantha.php
Mr. Mohideen M. Alikhan,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/alikhan.php
Ms. S.Chithra,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/chithra.php
Dr. Shyamantha Subasinghe,Department of Geography,Faculty of Arts,http://arts.pdn.ac.lk/geographynew/staff/subasinghe.php
Dr. A.S. Chandrabose,Department of Geography,Faculty of Arts,target='_blank'
Professor N. A. Wimalasena,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/wimalas.html
Prof. MAHINDA SOMATHILAKE,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/somat.html
Dr.M. Sriyani Gunarathne,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Sriya.html
Mrs.R.Hettiarachchi,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Ramani.html
Dr. Madurawala Sobhitha,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Sobhitha.html
Dr. Sumudu Manori Dharmarathne,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Sumudu.html
K.M.  Rohitha Dasanayaka,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Rohitha.html
Miss S.A.C. Feroziya,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Feroz.html
Ms. A.M.M. Chandrika,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/chandrika.html
Mrs. Subashani Hewawasam,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/Suba.html
Ramesha Dulani Jayaneththi,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/jayaneththi.html
Mr. G. Jeyatheeswaran,Department of History,Faculty of Arts,http://arts.pdn.ac.lk//history/jeya.html
Prof. R.G.D. Jayawardena ,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/jayawardena.html
Ven. Dr. Bamunugama Shanthawimala,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/rev_shanthiwimala.html
 Ven. Prof. Muwaetagama Gnanananda,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/rev_gnanananda.html
  Ven. Prof. Kotapitiye Rahula ,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/rev_rahula.html
 Mr. Sumana Ratnayaka,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/sumana_rath.html
P.D. Premasiri,Department of Pali and Buddhist Studies,Faculty of Arts,target='_blank'
Prof. P.B. Meegaskumbura,Department of Pali and Buddhist Studies,Faculty of Arts,target='_blank'
Dr. H.M. Mahinda Herath ,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/mahinda.html
Ven. Dr. Muthukeliyawe Indarathana ,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/indarathana.html
 Mr. D.M. Kasun Dharmasiri,Department of Pali and Buddhist Studies,Faculty of Arts,http://arts.pdn.ac.lk//pali/staff.htm
Prof. P.M.Jamahir,Department of Philosophy,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/ajamahir.php
Dr.Charitha Herath,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/acharitha.php
Dr.H.R.N.P.K.Handagama,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/ahandagama.php
Ms.Mallika Rajaratnam,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/amallika.php
Mr.Saman Pushpakumara,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/asaman.php
Mr.Sumedha Weerawardhana,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/asumedha.php
Mr.Mufizal Aboobucker,Department of Philosophy ,Faculty of Arts,http://arts.pdn.ac.lk/philosophynew/amufizal.php
Mr.B.A.J.Bogoda,Department of Philosophy ,Faculty of Arts,target='_blank'
Dr. Athula Withanawasam,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/drAthula.php
Prof. G.D.R.U. Abeyrathne,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/profAbeyrathne.php
Dr. A.K. Jeewaka Saman Kumara,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/drJeewaka.php
Mr. W.K. Ranjith Dickwella,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/ranjith.php
Mr. M. M. Ihjas,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/ihjas.php
Dr. Malini Balamayuran,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/drMalini.php
Dr. Athambawa Sarjoon,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/drAthambawa.php
Dr. S. Baskaran,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/baskaran.php
Dr. Ramasamy Ramesh,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/ramesh.php
Mr. N.Sivakumar,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/sivakumar.php
Mr. S.K. Walakuluge,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/walakuluge.php
Ms. Hasini Lecamwasam,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/hasini.php
Miss. Jasmiya Kanagarathnam,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/jasmiya.php
Mr. K. Satheeswaran,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/satheeswaran.php
Ms. Chamalie Athukorala,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/chamalie.php
Miss. K.B.G.M Priyanwada,Department of Political Science,Faculty of Arts,http://arts.pdn.ac.lk/political/staff/priyanwada.php
Mr. D.M.M.K. Disanayake,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk//sinhala/academic/pages/DMMKDisanayake.php
Ms. R.M. Sumudu N. Seneviratne,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/RMSNSeneviratne.php
Mr. Aththanayaka M. Herath ,Department of Sinhala,Faculty of Arts,target='_blank'
Mr. P. Lakshman Nugapitiya,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/PLNugapitiya.php
Dr. W. Amarakirthi Liyanage,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/WALiyanage.php
Dr. G.G. Saliya Kularathne,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/GGSKularathne.php
Dr. S.K.M.D. Dharshani Gunathillake,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/SKMDDGunathillake.php
Mr. K.R.K.R.A. Senarathne Kariyawasam,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/KRKRASKariyawasam.php
Dr. W.D. Sunanda K. Premasiri,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/WDSKPremasiri.php
Mr. Kumarasinghe Dissanayake,Department of Sinhala,Faculty of Arts,target='_blank'
Mr. W.N.D.N. Wijesiri,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/WNDNWijesiri.php
Ms. Chamini K. Guruge,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/CKGuruge.php
Ms. R.M. Sumudu N. Seneviratne,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/RMSNSeneviratne.php
Mr. R.M. Mahinda Rathnayake,Department of Sinhala,Faculty of Arts,http://arts.pdn.ac.lk/sinhala/academic/pages/RMMRathnayake.php
Dr. W. M. S. M. Kumari Thoradeniya,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/kuma.php
Senior Prof. Daya Amarasekara,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/daya.php
Prof. Mallika Pinnawala,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/mpin.php
Mr. W. A. S. N. Wijesinghe,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/nanda.php
Dr. M.G. Manurathne,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/manu.php
Dr. R. M. Abeyrathne,Department of Sociology,Faculty of Arts,http://arts.pdn.ac.lk/socio/staff/abey.php
Dr. Sarath Gamlath,Department of Sociology,Faculty of Arts,target='_blank'
Dr. H. M. K. Shantha Wanninayake,Department of Sociology,Faculty of Arts,target='_blank'
Dr. Upali Weerakoon,Department of Sociology,Faculty of Arts,target='_blank'
Dr. Dhammika Herath,Department of Sociology,Faculty of Arts,target='_blank'
Mr. Thushara Kamalrathna,Department of Sociology,Faculty of Arts,target='_blank'
Mr. Susantha Rasnayake,Department of Sociology,Faculty of Arts,target='_blank'
Dr. P. K. Seelagama,Department of Sociology,Faculty of Arts,target='_blank'
Mrs. D. Kowsalya Duraisamy,Department of Sociology,Faculty of Arts,target='_blank'
Miss. H. D. P. Premarathne,Department of Sociology,Faculty of Arts,target='_blank'
Mr. A.K.A.S. Gnanaratne,Department of Sociology,Faculty of Arts,target='_blank'
Ms. Rizmina Rilwan,Department of Sociology,Faculty of Arts,target='_blank'
Dr. V.Maheswaran,Tamil,Faculty of Arts,http://arts.pdn.ac.lk//tamil/staff/mahe.html
Ms. S.R.Theavar,Tamil,Faculty of Arts,http://arts.pdn.ac.lk//tamil/staff/thea.html
Dr. T.Manoharan,Tamil,Faculty of Arts,http://arts.pdn.ac.lk//tamil/staff/mano.html
Mr. P Sarawanakumar,Tamil,Faculty of Arts,http://arts.pdn.ac.lk//tamil/staff/sara.html
Prof. H.R.D.Peiris,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.roshan.php
Prof. C.D. Nanayakkara,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/prof.nanayakkara.php
Prof. J.A.C.K. Jayawardana,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/prof.jayawardena.php
Prof. Sajjiv Ariyasinghe,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.sajiv.php
Prof.A.K.S. Arambawatta,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.arambawatta.php
Dr. R.W. Pallegama,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.pallegama.php
Dr. B.M.H.S.K. Bannehaka,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.banneheka.php
Dr. Madhavi Paranagama,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.paranagama.php
Dr.B.G.T.L. Nandasena,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.nandasena.php
Dr. H.M.R.W. Angammana,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.angammana.php
Dr. N.S. Piyarathne,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.piyarathne.php
Dr. H.M.R.W. Angammana,Department of Basic Sciences,Faculty of Dental Sciences,http://dental.pdn.ac.lk/BasicScience/dr.niluka.php
Dr.V.S.N.Vithanaarachchi,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/dr.nishanthi.php
Prof.S.L. Ekanayake,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/prof.lilani.php
Prof.S.P.N.P. Nagarathne,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/prof.nagaratna.php
Dr. V.Vijayakumaran,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/dr.vvk.php
Dr. E.M.U.C.K.Herath,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/dr.chandra.php
Dr.WBMCRD Weerasekara,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/dr.chandima.php
Dr.HSK Ratnathilaka,Department of Community Dental Health,Faculty of Dental Sciences,target='_blank'
Dr.HMSC Dissanayake,Department of Community Dental Health,Faculty of Dental Sciences,target='_blank'
Dr.B.K.G. Thilakarathne,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/dr.krishna.php
Dr.DJ Epasingha,Department of Community Dental Health,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Community/staff.php#
Prof. JAMS Jayatilake,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/dr.sumedha.php
Prof. Aruni Tilakaratne,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Prof.A.Tilakaratne.php
Prof.Ruwan D. Jayasinghe,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Prof.Ruwan.php
Prof. G.J. Panagoda,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Prof.Panagoda.php
Prof. H.N.S. Soyza,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Prof.soyza.php
Dr.HMTDK Herath,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,target='_blank'
Dr. P.V.K.S. Hettiarachchi,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Dr.Kalani.php
Dr.Dhanushka Leuke Bandara,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Dr.Lewkebandara.php
Dr. Sumudu Medawela,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/Dr.Medawala.php
Dr. K.M.C.P. Kumari,Department of Oral Medicine and Periodontology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Medicine/dr.chathurika.php
Prof.EAPD Amarathunga,Department of Oral Pathology,Faculty of Dental Sciences,target='_blank'
Prof.W.M.Tilakaratne,Department of Oral Pathology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Pathology/prof.WMT.php
Prof.BSMS Siriwardena,Department of Oral Pathology,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Pathology/prof.samadara.php
prof. PR Jayasooriya,Department of Oral Pathology,Faculty of Dental Sciences,target='_blank'
Dr.WMPSK Wijekoon,Department of Oral & Masillofacial Surgery,Faculty of Dental Sciences,target='_blank'
Dr. AM Attygalla,Department of Oral & Masillofacial Surgery,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Surgery/dr.attygala.php
Dr. P.S.K. Nanayakkara,Department of Oral & Masillofacial Surgery,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Surgery/dr.saman.php
Dr Nadeena Jayasuriya,Department of Oral & Masillofacial Surgery,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Oral%20Surgery/dr.nadeena.php
Dr.KGKD Kapugama,Department of Oral & Masillofacial Surgery,Faculty of Dental Sciences,target='_blank'
Dr. Manori Jayasinghe,Department of Prosthetic Dentistry,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Prosthetic/Dr.M.Jayasinghe.php
Dr. Vajira Jayasinghe,Department of Prosthetic Dentistry,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Prosthetic/Dr.JAVP%20Jayasinghe.php
Dr.(Ms)IP Thilakumara,Department of Prosthetic Dentistry,Faculty of Dental Sciences,http://dental.pdn.ac.lk/Prosthetic/Dr.IP.Thilakumara.php
Dr. R.M.S.G.k Rasnayake,Department of Prosthetic Dentistry,Faculty of Dental Sciences,target='_blank'
Dr.MCN Fonseka,Department of Restorative Dentistry,Faculty of Dental Sciences,target='_blank'
Prof.KM Wijerathne,Department of Restorative Dentistry,Faculty of Dental Sciences,target='_blank'
Prof.KA Wettasinghe,Department of Restorative Dentistry,Faculty of Dental Sciences,target='_blank'
Dr.DI Amaratunga,Department of Restorative Dentistry,Faculty of Dental Sciences,target='_blank'
Dr. C. S. Kalpage,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=drkalpage
Prof. Rajaratnam Shanthini,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=profshanthini
Prof. D G G P Karunaratne,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=drkarunaratne
Dr. Anushka Elangasinghe,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=dranushka
Dr. Aruna Manipura,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=draruna
Dr. Maheshi Danthurebandara,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=drmaheshi
Dr. Achala Pallegedara,Department of Chemical and Process Engineering,Faculty of Engineering,https://eng.pdn.ac.lk/chemical/?page_id=198&um_user=achala
